ROLLINGDB_ID,Coll2014,Freschi2020,Lipworth2019,Shitikov2017,Stucki2016,F2,Lineage
SAMEA1016015,4.3.4.1,4.2.1.2.1.1.i3.2,"lam,cameroon,beijing",,4.3/LAM,0.0132360886007563,4
SAMEA1016018,2.2.1,2.2.1.1.1.i3,beijing,"lin2.2.1,central_asia",,0.0073768332308773,2
SAMEA1016019,4.2.1,4.2.2.2.1,"ural,canetti",,4,0.0211973646519621,4
SAMEA1016021,4.3.3,4.2.1.2.1.1.i4.1,lam,,4.3/LAM,0.0047822374039282,4
SAMEA1016023,2.2.1,2.2.1.1.1.i3,"beijing,mungi,canetti","lin2.2.1,central_asia",,0.0075792374827744,2
SAMEA1016024,4.2.1,4.2.2.2.1,ural,,4,0.0189028420356906,4
SAMEA1016025,4.1.2,4.1.i1.1.1.1,haarlem,,4,0.0151791135397692,4
SAMEA1016026,4.2.1,4.2.2.2.1,"ural,beijing,canetti",,4,0.0544432254525507,4
SAMEA1016028,2.2.1,2.2.1.1.1.i3,"beijing,canetti","lin2.2.1,central_asia",,0.0070055855344125,2
SAMEA1016029,4.2.1,4.2.2.2.2,"ural,canetti",,4,0.0148754805281631,4
SAMEA1016030,4.3.3,4.2.1.2.1.1.i4.1,lam,,4.3/LAM,0.0059779562861946,4
SAMEA1016033,2.2.1,2.2.1.1.1,"beijing,mungi",lin2.2.1,,0.0103556956325979,2
SAMEA1016034,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.0114285714285714,2
SAMEA1016037,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.0105351875263379,2
SAMEA1016038,4.2.1,4.2.2.2.1,"ural,beijing,mungi",,4,0.0891767343380246,4
SAMEA1016039,2.2.1,2.2.1.1.1,"beijing,mungi","europe/russia_B0/W148_outbreak,lin2.2.1",,0.0092884682790045,2
SAMEA1016042,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.0063527137135754,2
SAMEA1016043,4.8,4.2.1.1.1.1.1.1.i1,canetti,,4.10/PGG3,0.0023090051199678,4
SAMEA1016044,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.007896886629754,2
SAMEA1016045,4.3.3,4.2.1.2.1.1.i4.1,lam,,4.3/LAM,0.0079365079365079,4
SAMEA1016047,4.3.3,4.2.1.2.1.1.i4.1,lam,,4.3/LAM,0.0089481010141181,4
SAMEA1016051,4.2.1,4.2.2.2.1,"ural,canetti",,4,0.0219412019022913,4
SAMEA1016052,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.0052520291930973,2
SAMEA1016053,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.0071753169098301,2
SAMEA1016054,2.2.1,2.2.1.1.1.i3,"beijing,canetti,mungi","lin2.2.1,central_asia",,0.0099537859936011,2
SAMEA1016055,2.2.1,2.2.1.1.1.i3,beijing,"lin2.2.1,central_asia",,0.0084985835694051,2
SAMEA1016060,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.0081365207373271,2
SAMEA1016061,4.2.1,4.2.2.2.1,ural,,4,0.0216474245115452,4
SAMEA1016062,4.2.1,4.2.2.2.1,ural,,4,0.0209267563527653,4
SAMEA1016063,4.3.3,4.2.1.2.1.1.i4.1,lam,,4.3/LAM,0.0047588832487309,4
SAMEA1016066,2.2.1,2.2.1.1.1.i3,beijing,"lin2.2.1,central_asia",,0.0082091164398358,2
SAMEA1016067,4.2.1,4.2.2.2.1,ural,,4,0.0195731784316201,4
SAMEA1016068,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.0078648894776057,2
SAMEA1016071,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.0098912937028694,2
SAMEA1016072,4.8,4.2.1.1.1.1.1.1.i1,,,4.10/PGG3,0.0059923733430179,4
SAMEA1016073,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.0089448401523935,2
SAMEA1016074,2.2.1,2.2.1.1.1,"beijing,mungi","europe/russia_B0/W148_outbreak,lin2.2.1",,0.0091713069112348,2
SAMEA1016075,4.1.2.1,4.1.i1.1.1.1,"haarlem,beijing",,4.1.2/Haarlem,0.0095693779904306,4
SAMEA1016077,4.3.3,4.2.1.2.1.1.i4.1,lam,,4.3/LAM,0.0039617354333752,4
SAMEA1016078,2.2.1,2.2.1.1.1,"beijing,mungi","europe/russia_B0/W148_outbreak,lin2.2.1",,0.0063253774141857,2
SAMEA1016080,4.1.2.1,4.1.i1.1.1.1,"haarlem,beijing",,4.1.2/Haarlem,0.0197434788874477,4
SAMEA1016081,4.2.1,4.2.2.2.2,ural,,4,0.0138888888888888,4
SAMEA1016082,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.0060543052837573,2
SAMEA1016083,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.007470922828763,2
SAMEA1016084,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.0146912844947389,2
SAMEA1016086,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.008714596949891,2
SAMEA1016088,4.3.3,4.2.1.2.1.1.i4.1,lam,,4.3/LAM,0.0036113499570077,4
SAMEA1016089,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.0080489375402446,2
SAMEA1016090,4.8,4.2.1.1.1.1.1.1.i1,,,4.10/PGG3,0.0058651026392961,4
SAMEA1016091,4.3.3,4.2.1.2.1.1.i4.1,lam,,4.3/LAM,0.0050799623706491,4
SAMEA1016093,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.0075569469934146,2
SAMEA1016096,4.1,4.1.i1.2.1,"xtype,beijing",,4,0.1189315656073308,4
SAMEA1016097,2.2.1,2.2.1.1.1,"beijing,mungi","europe/russia_B0/W148_outbreak,lin2.2.1",,0.0082079343365253,2
SAMEA1016098,2.2.1,2.2.1.1.1,"beijing,mungi","europe/russia_B0/W148_outbreak,lin2.2.1",,0.0073797534294148,2
SAMEA1016099,2.2.1,2.2.1.1.1,"beijing,mungi","europe/russia_B0/W148_outbreak,lin2.2.1",,0.0085766795997549,2
SAMEA1016100,2.2.1,2.2.1.1.1.i3,beijing,"lin2.2.1,central_asia",,0.00571292549393,2
SAMEA1016101,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.0074027734334271,2
SAMEA1016103,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.0074795616628978,2
SAMEA1016104,4.1.2,4.1.i1.1.1.1,haarlem,,4,0.0145339124624122,4
SAMEA1016109,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.0069133794225294,2
SAMEA1016111,2.2.1,2.2.1.1.1.i3,"beijing,canetti,mungi","lin2.2.1,central_asia",,0.0077273627897761,2
SAMEA1016112,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.0091404122909373,2
SAMEA1016113,4.2.1,4.2.2.2.1,"ural,beijing,canetti",,4,0.0505657708628005,4
SAMEA1016114,4.8,4.2.1.1.1.1.1.1.i1,,,4.10/PGG3,0.004772670183371,4
SAMEA1016117,2.2.1,2.2.1.1.1.i3,"beijing,indo_oceanic,mungi","lin2.2.1,central_asia",,0.0149959102063073,2
SAMEA1016118,2.2.1,2.2.1.1.1,"beijing,mungi","europe/russia_B0/W148_outbreak,lin2.2.1",,0.0075780237311795,2
SAMEA1016120,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.0092946965554948,2
SAMEA1016122,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.0082636686845392,2
SAMEA1016123,4.3.3,4.2.1.2.1.1.i4.1,lam,,4.3/LAM,0.0048372911169744,4
SAMEA1016124,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.0076628352490421,2
SAMEA1016126,4.2.1,4.2.2.2.1,"ural,beijing",,4,0.02197968773685,4
SAMEA1016128,4.1.2,4.1.i1.1.1.1,haarlem,,4,0.0103706222373342,4
SAMEA1016129,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.0064152110063379,2
SAMEA1016130,4.2.1,4.2.2.2.1,"ural,lam",,4,0.0193266198759027,4
SAMEA1016134,4.2.1,4.2.2.2.1,ural,,4,0.022297455054868,4
SAMEA1016137,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.0061329355212995,2
SAMEA1016139,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.0927084518257308,2
SAMEA1016140,4.2.1,4.2.2.2.1,ural,,4,0.0031954072790294,4
SAMEA1016142,4.2.1,4.2.2.2.1,ural,,4,0.0237284287011807,4
SAMEA1016143,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.009322760394342,2
SAMEA1016144,4.3.3,4.2.1.2.1.1.i4.1,lam,,4.3/LAM,0.0038555906063792,4
SAMEA1016145,4.2.1,4.2.2.2.1,ural,,4,0.012416311625076,4
SAMEA1016146,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.0084812623274161,2
SAMEA1016147,2.2.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,asian_african_2",,0.006482982171799,2
SAMEA1016148,4.3.3,4.2.1.2.1.1.i4.1,lam,,4.3/LAM,0.0042083114150447,4
SAMEA1016152,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.0064696485623003,2
SAMEA1016158,4.8,4.2.1.1.1.1.1.1.i1,canetti,,4.10/PGG3,0.0031376064545047,4
SAMEA1016159,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.0090464321979137,2
SAMEA1016160,4.3.3,4.2.1.2.1.1.i4.1,"lam,ethiopian",,4.3/LAM,0.0058207217694994,4
SAMEA1016161,4.8,4.2.1.1.1.1.1.1.i1,,,4.10/PGG3,0.0041874376869391,4
SAMEA1016162,4.2.1,4.2.2.2.1,"ural,canetti",,4,0.0125234082397003,4
SAMEA1016163,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.0088353413654618,2
SAMEA1016165,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.0070989115002366,2
SAMEA1016166,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.0052168496457214,2
SAMEA1016167,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.0060987802439512,2
SAMEA1016171,2.2.1,2.2.1.1.1,"beijing,mungi","europe/russia_B0/W148_outbreak,lin2.2.1",,0.0097930524759793,2
SAMEA1016172,2.2.1,2.2.1.1.1.i3,beijing,"lin2.2.1,central_asia",,0.0094099196236032,2
SAMEA1016174,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.0078973346495557,2
SAMEA1016175,2.2.1,2.2.1.1.1,"beijing,mungi","europe/russia_B0/W148_outbreak,lin2.2.1",,0.0070681108867266,2
SAMEA1016176,2.2.1,2.2.1.1.1.i3,beijing,"lin2.2.1,central_asia",,0.0068176079454591,2
SAMEA1016178,4.1.2,4.1.i1.1.1.1,haarlem,,4,0.011801507180435,4
SAMEA1016179,4.2.1,4.2.2.2.2,ural,,4,0.0155608385562999,4
SAMEA1016181,4.2.1,4.2.2.2.1,ural,,4,0.0166699940107805,4
SAMEA1016182,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.0074994141082727,2
SAMEA1016184,4.8,4.2.1.1.1.1.1.1.i1,,,4.10/PGG3,0.0073335288941038,4
SAMEA1016185,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.0075807514831905,2
SAMEA1016186,4.1.2.1,4.1.i1.1.1.1,haarlem,,4.1.2/Haarlem,0.0145997112145034,4
SAMEA1016187,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.0106973058637083,2
SAMEA1016189,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.0088586030664395,2
SAMEA1016190,4.8,4.2.1.1.1.1.1.1.i1,,,4.10/PGG3,0.006911532385466,4
SAMEA1016191,4.3.3,4.2.1.2.1.1.i4.1,lam,,4.3/LAM,0.0053180609531601,4
SAMEA1016193,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.0067243920412675,2
SAMEA1016194,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.0096349427256182,2
SAMEA1016196,2.2.1,2.2.1.1.1,beijing,"europe/russia_B0/W148_outbreak,lin2.2.1",,0.0087048832271762,2
SAMEA1016197,2.2.1,2.2.1.1.1,beijing,"europe/russia_B0/W148_outbreak,lin2.2.1",,0.0069650722114104,2
SAMEA1016198,4.3.3,4.2.1.2.1.1.i4.1,lam,,4.3/LAM,0.0042480883602378,4
SAMEA1016201,4.1.2.1,4.1.i1.1.1.1,haarlem,,4.1.2/Haarlem,0.0088242308609587,4
SAMEA1016202,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.0096727721753447,2
SAMEA1018838,4.6.2.2,4.2.1.1.1.2.1.1.1.1.1,cameroon,,4.6.2/Cameroon,0.0080155664624052,4
SAMEA1018839,4.1.2.1,4.1.i1.1.1.1,"haarlem,indo_oceanic",,4.1.2/Haarlem,0.0160234008956537,4
SAMEA1018840,4.8,4.2.1.1.1.1.1.1.i1,"caprae,stype",,4.10/PGG3,0.0061813186813186,4
SAMEA1018843,4.8,4.2.1.1.1.1.1.1.i1,,,4.10/PGG3,0.0155503470657171,4
SAMEA1018844,4.1.1.1,4.1.i1.2.1,"xtype,canetti",,4,0.0110286467364916,4
SAMEA1018845,3.1.1,3.1.1.i1,east_african_indian,,,0.0117191533298915,3
SAMEA1018846,4.8,4.2.1.1.1.1.1.1.i1,"canetti,ethiopian",,4.10/PGG3,0.0058560336886432,4
SAMEA1018848,4.1.1.1,4.1.i1.2.1,"xtype,canetti",,4,0.0077672645106623,4
SAMEA1018849,3.1.1,3.1.1.i1,"east_african_indian,ghana",,,0.0125849848112252,3
SAMEA1018850,4.1.1.1,4.1.i1.2.1,xtype,,4,0.0063455436977213,4
SAMEA1018853,4.8,4.2.1.1.1.1.1.1.i1,,,4.10/PGG3,0.0172912474849094,4
SAMEA1018855,4.8,4.2.1.1.1.1.1.1.i1,,,4.10/PGG3,0.0086426592797783,4
SAMEA1018856,4.1.1.3,4.1.i1.2.1,xtype,,4,0.017263359184107,4
SAMEA1018857,4.8,4.2.1.1.1.1.1.1.i1,,,4.10/PGG3,0.0140130326970762,4
SAMEA1018859,4.1.1.3,4.1.i1.2.1,xtype,,4,0.014933628318584,4
SAMEA1018862,BOV_AFRI,,"bovis,canetti",,,0.0139275766016713,BOV_AFRI
SAMEA1018863,3.1.1,3.1.1.i1,east_african_indian,,,0.0118984757278135,3
SAMEA1018864,1.1.2,1.1.2,indo_oceanic,,,0.0187540291859579,1
SAMEA1018866,4.8,4.2.1.1.1.1.1.1.i1,"canetti,ethiopian",,4.10/PGG3,0.0056861258529188,4
SAMEA1018867,BOV_AFRI,,"bovis,xtype",,,0.0112846668791839,BOV_AFRI
SAMEA1018869,4.8,4.2.1.1.1.1.1.1.i1,,,4.10/PGG3,0.008575058225704,4
SAMEA1018870,4.8,4.2.1.1.1.1.1.1.i1,,,4.10/PGG3,0.0088220551378446,4
SAMEA1018871,3.1.1,3.1.1.i1,east_african_indian,,,0.0218734429496761,3
SAMEA1018872,4.8,4.2.1.1.1.1.1.1.i1,,,4.10/PGG3,0.0071760236386661,4
SAMEA1018878,4.1.1.1,4.1.i1.2.1,"xtype,east_african_indian",,4,0.0085239182076482,4
SAMEA1018881,4.1.1.1,4.1.i1.2.1,xtype,,4,0.009082409509817,4
SAMEA1018883,4.8,4.2.1.1.1.1.1.1.i1,"canetti,ethiopian",,4.10/PGG3,0.0065367438083637,4
SAMEA1018884,4.1.1.3,4.1.i1.2.1,"xtype,mungi",,4,0.01554635234151,4
SAMEA1018885,3,3.1.1,"east_african_indian,ghana",,,0.0096205815587504,3
SAMEA1018886,4.8,4.2.1.1.1.1.1.1.i1,,,4.10/PGG3,0.0084553642546412,4
SAMEA1018889,3.1.1,3.1.1.i1,east_african_indian,,,0.0213249362244897,3
SAMEA1018890,3,3.1.1,"east_african_indian,indo_oceanic",,,0.013769685302532,3
SAMEA1018891,4.8,4.2.1.1.1.1.1.1.i1,,,4.10/PGG3,0.0068322981366459,4
SAMEA1018892,3.1.1,3.1.1.i1,"east_african_indian,mungi",,,0.012514963543367,3
SAMEA1018896,4.6.2.1,4.2.1.1.1.2.1.1.1.2,cameroon,,4,0.0115231382163653,4
SAMEA1018897,4.1.1.3,4.1.i1.2.1,"xtype,canetti",,4,0.0159460685810591,4
SAMEA1018898,4.1.1.3,4.1.i1.2.1,xtype,,4,0.0164129191234709,4
SAMEA1018899,4.3.3,4.2.1.2.1.1.i4.1,lam,,4,0.0057201874950345,4
SAMEA1018900,3.1.1,3.1.1.i1,east_african_indian,,,0.0123868244181525,3
SAMEA1018901,2.2.1,2.2.1.1.1.i1,beijing,lin2.2.1,,0.0100954979536152,2
SAMEA1018904,1.2.2,1.2.2.1,indo_oceanic,,,0.0216822429906542,1
SAMEA1018905,4.1.1.3,4.1.i1.2.1,"xtype,canetti",,4,0.0116581272740773,4
SAMEA1018906,4.8,4.2.1.1.1.1.1.1.i1,"canetti,ethiopian",,4.10/PGG3,0.0059489262913522,4
SAMEA1018907,3.1.1,3.1.1.i1,east_african_indian,,,0.023293172690763,3
SAMEA1018908,4.6.2.1,4.2.1.1.1.2.1.1.1.2,cameroon,,4,0.0109766394596115,4
SAMEA1018911,4.1.1.1,4.1.i1.2.1,"xtype,east_african_indian",,4,0.0081282198053806,4
SAMEA1018912,4.1.1.1,4.1.i1.2.1,xtype,,4,0.0216744581385465,4
SAMEA1018913,4.6.2.2,4.2.1.1.1.2.1.1.1.1.1,cameroon,,4.6.2/Cameroon,0.0053846721251014,4
SAMEA1018914,3.1.1,3.1.1.i1,east_african_indian,,,0.0129388772828357,3
SAMEA1018916,1.2.2,1.2.2.2,"indo_oceanic,canetti,pinipedii",,,0.0199276756174501,1
SAMEA1018918,4.1.1.1,4.1.i1.2.1,xtype,,4,0.0076322115384615,4
SAMEA1018920,4.8,4.2.1.1.1.1.1.1.i1,,,4.10/PGG3,0.007070707070707,4
SAMEA1018921,3.1.1,3.1.1.i1,east_african_indian,,,0.0107191126438924,3
SAMEA1018923,2.2.1,2.2.1.1.1.i1,beijing,lin2.2.1,,0.0086674706059692,2
SAMEA1018924,4.1.1.1,4.1.i1.2.1,"xtype,beijing",,4,0.0080803668923345,4
SAMEA1018925,4.1.1.3,4.1.i1.2.1,xtype,,4,0.0134282958676459,4
SAMEA1018927,4.4.1.1,4.2.1.2.2.1.1,stype,,4,0.0085795996186844,4
SAMEA1018928,4.1.1.1,4.1.i1.2.1,xtype,,4,0.0080175727622185,4
SAMEA1018929,4.1.2.1,4.1.i1.1.1.1,haarlem,,4.1.2/Haarlem,0.0127565564424173,4
SAMEA1018931,3,3.1.1,east_african_indian,,,0.0095418555863842,3
SAMEA1018934,4.3.4.2.1,4.2.1.2.1.1.i3.1,lam,,4.3/LAM,0.0113015633829346,4
SAMEA1018935,2.2.1,2.2.1.1.1,beijing,lin2.2.1,,0.0115214958193429,2
SAMEA1018936,3,3.1.1,east_african_indian,,,0.0103811841038118,3
SAMEA1018941,4.1.2.1,4.1.i1.1.1.1,haarlem,,4.1.2/Haarlem,0.0138849126825078,4
SAMEA1018943,3.1.1,3.1.1.i1,east_african_indian,,,0.0097627679196082,3
SAMEA1018945,4.1.2.1,4.1.i1.1.1.1,haarlem,,4.1.2/Haarlem,0.0137850855339644,4
SAMEA1018948,4.1.1.1,4.1.i1.2.1,xtype,,4,0.0063925934090157,4
SAMEA1018949,4.1.1.3,4.1.i1.2.1,"xtype,canetti",,4,0.0157756354075372,4
SAMEA1018950,3.1.2.2,3.1.1.i2,"east_african_indian,canetti",,,0.0071761455025363,3
SAMEA1018954,4.1.2.1,4.1.i1.1.1.1,haarlem,,4.1.2/Haarlem,0.0107408571727968,4
SAMEA1018957,4.1.1.1,4.1.i1.2.1,xtype,,4,0.0221149024885862,4
SAMEA1018958,1.1.2,1.1.2,indo_oceanic,,,0.0186591054605323,1
SAMEA1018959,4.1.1.1,4.1.i1.2.1,"xtype,caprae",,4,0.0268383294901357,4
SAMEA1018960,4.1.2.1,4.1.i1.1.1.1,haarlem,,4.1.2/Haarlem,0.0144118176905062,4
SAMEA1018962,2.2.1,2.2.1.1.1.i1,beijing,lin2.2.1,,0.009714488804644,2
